gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/controller:v0.44.0@sha256:51e4c16fc4d0b18912106ff7fe37cc24c0667de6af468cdd1a9e9dc174039de1,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.controller,v0.44.0,@sha256:4486d122d342a25808181db66551b5d528ebfa85fdb3eb6105022d0ec1b4177c
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/git-init:v0.44.0@sha256:baa4110837ef91c3ec26a00f3c5d980fef174b97934cf2fc9115092ec78d35ee,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.git-init,v0.44.0,@sha256:e7d3585a1ab54d7854aeca2d37c85261a36536013f8a4092a3ed1a3e70c1a7a7
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/entrypoint:v0.44.0@sha256:0be7d0cd52ba04baa136f987c74d80d171e3c1c86d47db8368825cfbe4d8df0b,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.entrypoint,v0.44.0,@sha256:f4685173617451f9622a1cf91fdab477277c44878a96331c2d8eb4a61a349f0b
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/nop:v0.44.0@sha256:779508dcf27d658148d532d59ff505d5afc45c6aa07111d12169a90be6a6a9d8,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.nop,v0.44.0,@sha256:d74971a6f25d5722653f6600c3d6ae2c3887cb99ce951ec96617d5a94cec8a9a
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/sidecarlogresults:v0.44.0@sha256:4f3ac70c281f60de5634e3c8d4e17210a8d64aa6ae2d933739dbfc3cb674b8d0,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.sidecarlogresults,v0.44.0,@sha256:f554170bab3875a6e8015c722a4571d379c9dc31a30b8e5d57f787c8d9f89505
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/imagedigestexporter:v0.44.0@sha256:b65389daa312b9c1bfe9cc1d2c9066a877676034b4264b3576e3ccf8843b961d,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.imagedigestexporter,v0.44.0,@sha256:463146aacae0df09fc12e2363bbbc344c1e785f0064ce6a977a38bf267049363
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/pullrequest-init:v0.44.0@sha256:c80af31a67027b9e9dc9b710856ecda8137348bb82aefb1dd59949039ea17fc2,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.pullrequest-init,v0.44.0,@sha256:aff0a75348dc47413930dd19c2abd6ccc5692ec24da9c5ccba59700c006e28bf
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/workingdirinit:v0.44.0@sha256:58d1145c65711eda6198c5b8d3a0d36955f0a56d732c961d29cab4381cbce644,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.workingdirinit,v0.44.0,@sha256:c156f12581026ca70b8b1352a2faddfe9f95ea0def4992776ba5cdaeadfd4193
gcr.io/google.com/cloudsdktool/cloud-sdk@sha256:27b2c22bf259d9bc1a291e99c63791ba0c27a04d2db0a43241ba0f1f20f4067f,knativecn/gcr.io.google.com.cloudsdktool.cloud-sdk,,@sha256:27b2c22bf259d9bc1a291e99c63791ba0c27a04d2db0a43241ba0f1f20f4067f
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/resolvers:v0.44.0@sha256:9e156710dc7730487640faa798a7f70e32f15bd31ec9f50cab2c7f5e154a3dfe,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.resolvers,v0.44.0,@sha256:18b8d78be2579b85994d7b27e4561b56bde09939a7db88ff15f4b51f84d993b8
gcr.io/tekton-releases/github.com/tektoncd/pipeline/cmd/webhook:v0.44.0@sha256:f9649cd6efac896defc9da687d0c5e6005e3c2c2e323aed3653917b29c257a5e,knativecn/gcr.io.tekton-releases.github.com.tektoncd.pipeline.cmd.webhook,v0.44.0,@sha256:c9e8f4d72497a2063d945ae5161fdd67adb2812fdc6722c6ea93c9f7a8d76e68
gcr.io/tekton-releases/github.com/tektoncd/triggers/cmd/controller:v0.22.1@sha256:47f18d03c08ebc8ef474dd62e7d83ead3c4aa802c72668dafb73fd6afedd305f,knativecn/gcr.io.tekton-releases.github.com.tektoncd.triggers.cmd.controller,v0.22.1,@sha256:8c48f0e1435fea612f65e4b74cdbd86d6a02c4a0409b278631f1d56247ce4809
gcr.io/tekton-releases/github.com/tektoncd/triggers/cmd/eventlistenersink:v0.22.1@sha256:bd8b2ec63012605739dc74871d1a20634d1055ed3d77864a582a9b5f2d22ab92,knativecn/gcr.io.tekton-releases.github.com.tektoncd.triggers.cmd.eventlistenersink,v0.22.1,@sha256:f3a76b5035c97ba3ffbb85e24c6278488f4f055dc02b679124c6c0046c2193ce
gcr.io/tekton-releases/github.com/tektoncd/triggers/cmd/webhook:v0.22.1@sha256:9a124b2ead10a6bc3ae1d32d05b9fe664465cfe6d09830ef89f3987a443a5c86,knativecn/gcr.io.tekton-releases.github.com.tektoncd.triggers.cmd.webhook,v0.22.1,@sha256:39862a7c5af3999be164ae6005a56975c88b58aeae6abdcf5cc999dcf77b570c
gcr.io/tekton-releases/github.com/tektoncd/triggers/cmd/interceptors:v0.22.1@sha256:eda7af449fb82b06e952da0f5c0d1c2a3eddbab041e43065d37f67523c60c494,knativecn/gcr.io.tekton-releases.github.com.tektoncd.triggers.cmd.interceptors,v0.22.1,@sha256:aa905629725aee79c0c74bacdc4adbea0e23625c406d135f0854bc79605d12d9
gcr.io/knative-releases/knative.dev/serving/cmd/queue@sha256:ccfa0604ac462ee5d3462f4d2eccbd030f9760c203861e8a5cbbab0651cc6211,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.queue,,@sha256:033f9aca41526039322e77c68e5032b4fb3f8bd074ff07fb78396531d22e4631
gcr.io/knative-releases/knative.dev/serving/cmd/activator@sha256:f9ed20f316f33d529d72e9002b940bb6d2d8daa76361623787f4b87526196c9f,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.activator,,@sha256:ff37ebc74c3492e3fcb5b661737ef7112336a1c4cc2cf21dd0b9f0213b540a64
gcr.io/knative-releases/knative.dev/serving/cmd/autoscaler@sha256:6699846e900830294e4ec4cc2c2b000a1c5fa5fe3e8846624ead01cdf0e4a8d3,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.autoscaler,,@sha256:08eeaf7d5bd8d3ab0b626fd252534601f2cd93cf9936c90ea2b31c0d6dd38674
gcr.io/knative-releases/knative.dev/serving/cmd/controller@sha256:8fc3dac5d9e9c788bd250d49f411e419d3655e427e15b6a0b73a03935132f738,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.controller,,@sha256:0f214ce95c927d94ab5f4ae737ea482c9e057e14e5496ed38b35ba8279dcb2da
gcr.io/knative-releases/knative.dev/serving/cmd/domain-mapping@sha256:98ee56cb1815e90d9985616a664ce133679c790120c3b8a3e04a7488486727d1,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.domain-mapping,,@sha256:114d1a9a254534880b41810f26d65ef3befad522343375eca678e882a8d62e77
gcr.io/knative-releases/knative.dev/serving/cmd/domain-mapping-webhook@sha256:26cb5fdb9a5fe575919869331172e2b73de01084c043191748fbd45ba443abc2,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.domain-mapping-webhook,,@sha256:f47b84ee4545e43f7dd5574848481e3044dab2c77c3d39ef097d135588341836
gcr.io/knative-releases/knative.dev/serving/cmd/webhook@sha256:67f619672751867e70f60321be906cec40a77d0d849cc2354fbc4415c01c3442,knativecn/gcr.io.knative-releases.knative.dev.serving.cmd.webhook,,@sha256:e79e89dccd1d77c043a7e5ecfab978744e7f8e793035242d34b692a8760dbe35
